campaign_member_id,campaign_id,member_type,lead_id,contact_id,status,has_responded,created_at,updated_at
95nsfs10YKHaA0xeq6,fX3NRI0Xb2Wh2NENDK,Lead,5jqcuf3veOlroYo0zi,,Sent,False,2024-01-14 05:52:15,2024-02-13 05:52:15
Qw4z8t1ISo0lCe5X7Z,oB3zxU58ueiKdvtze2,Contact,,AO7cZOrSX3UOHFxLCC,Unsubscribed,False,2025-11-19 08:45:21,2025-12-05 08:45:21
WxhNSM9HQzMCnYt3mP,fbnldpuIX6CRgru0m8,Lead,rKZfqKxuo0lMgjXUnh,,Sent,False,2025-07-29 09:12:28,2025-08-09 09:12:28
Jx0eLuIIcWhNZngvjq,kgqVLVQ98jdJE5YwGx,Contact,,iV53m2dzo4fe7lgOO8,Sent,False,2024-06-12 18:20:13,2024-06-13 18:20:13
1JcLUBDjoTq4zfdC3z,qyGYgImqhWuBOaj93t,Contact,,Z8JkizQnTRPsn47FWM,Responded,True,2025-08-07 09:16:45,2025-09-03 09:16:45
nAsjVUit1ybMmAl8MY,EE9R6f7VZxXJICdlq1,Contact,,xWwTgsv9NIvP16CtfH,Sent,False,2024-08-02 15:10:49,2024-08-16 15:10:49
KGHbbJf99MHbLXsZGu,1WtSrFE7EuGqZSxpS4,Lead,qG2mbh73BN6TO9D2fV,,Bounced,False,2025-07-24 04:46:22,2025-08-14 04:46:22
I96W14O1HczGhEY8Q4,lvvh9tG4woS1U43qgF,Contact,,b0R63zUFWYQ5jUMIkz,Sent,False,2024-01-13 22:03:10,2024-02-05 22:03:10
lU40WpUEr54HKlwNcJ,jUdss4gvwqwxXygFrM,Contact,,v0d6BSteTk1uMREpP3,Sent,False,2024-10-28 11:47:43,2024-10-30 11:47:43
cJktKEpwBf5V2lziIg,aPrBTsuGMeCtPyTm4I,Lead,xMPmU3NtmMIwDK4NQY,,Sent,False,2024-10-28 11:24:13,2024-11-06 11:24:13
F4xCbolGMmzARMZ7HC,CkskBBGoCcwPeXILiC,Contact,,o2MdMlchKDCbQ2LMaA,Sent,False,2024-02-22 04:00:40,2024-03-03 04:00:40
